ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity,ethnologue_L2_users,used_as_L2_by,notes,NOTA BENE! Remember to use Ethnologue version 20 (the 2017 version)!,,,
djr,Djambarrpuyngu,Australian,N-Australia,1.278671145,,,1,3,450,43.75230541,1,FALSE,"Used as L2 by Dayi [dax], Dhangu-Djangu [dhg], Dhuwal [dwu], Djinang [dji], Djinba [djb], Gupapuyngu [guf], Yan-nhangu [jay], Yolngu Sign Language [ygs].",,,,,
dju,Kapriman,Sepik,N-Coast-New-Guinea,,,0,0.625,8,1640,560.4085499,0,FALSE,no information,,,,,
dmk,Domaaki,Indo-European,Indic,,,0,0.8000000119,5,500,11.27307157,0,FALSE,no information,,,,,
dni,Lower Grand Valley Dani,Trans-New-Guinea,Interior-New-Guinea,,,0,0.6386128068,23,20000,1217.017934,0,FALSE,no information,,,,,
dny,Dení,Arauan,NE-South-America,,,0,1,1,750,4800.358926,0,FALSE,no information,,,,,
dob,Dobu,Austronesian,,1.418753862,9.008259773,0.9090909362,,,10000,374.9554603,1,TRUE,"Used as L2 by ’Auhelawa [kud], Boselewa [bwf], Bunama [bdd], Bwaidoka [bwd], Bwanabwana [tte], Duau [dva], Galeya [gar], Gumawana [gvs], Iamalele [yml], Kilivila [kij], Koluwawa [klx], Molima [mox], Muyuw [myw], Mwatebu [mwa], Sewa Bay [sew], Tawala [tbo].",,,,,
doo,Dongo,Niger-Congo,S-Africa,,,0,0.8000000119,5,12900,1460.002001,0,FALSE,no information,,,,,
dop,Lukpa,Niger-Congo,,1.595709324,8.370124817,0,,,63600,2054.485892,0,FALSE,"Used as L2 by Kura Ede Nago [nqk], Yom [pil].",,,,,
dow,Doyayo,Niger-Congo,African-Savannah,1.741900086,8.413003922,0,0.6833333373,10,18000,2295.030734,0,FALSE,no information,,,,,
drd,Darmiya,Sino-Tibetan,Indic,,,0,0.6000000238,5,3800,158.3838606,0,FALSE,no information,,,,,
drl,Darling,Australian,S-Australia,,,0,0.777777791,9,5,29283.60374,0,FALSE,no information,,,,,
dru,Rukai,Austronesian,Southeast-Asia,,,0,0.7916666865,12,10500,792.2147437,0,FALSE,no information,,,,,
dsh,Daasanach,Afro-Asiatic,Greater-Abyssinia,,,0.003787255147,1,2,40100,3853.174595,0,TRUE,no information,,,,,
dta,Daur,Altaic,Inner-Asia,,,0,0.6999999881,10,96100,21275.21123,0,FALSE,"Used as L2 by Evenki [evn], Oroqen [orh].",,,,,
dtp,Central Dusun,Austronesian,,1.2350595,7.643701553,0,,,141000,7208.957875,0,FALSE,"Used as L2 by Gana [gnq], Ida’an [dbj], Iranun [ilm], Keningau Murut [kxi], Kuijau [dkr], Lanas Lobu [ruu], Lotud [dtr], Rungus [drg], Sugut Dusun [kzs], Tahol Murut [mvv], Tampias Lobu [low], Tatana [txx], Tombonuo [txa].",,,,,
dts,Toro So Dogon,Niger-Congo,African-Savannah,1.54441905,8.70903492,0,,,50000,1473.689232,0,FALSE,no information,,,,,
dua,Duala,Niger-Congo,African-Savannah,,,,0,1,87700,1712.423572,1,FALSE,"Used as L2 by Bafaw-Balong [bwt], Bakaka [bqz], Bubia [bbx], Isu [szv], Malimba [mzd], Mokpwe [bri].",,,,,
duc,Duna,Trans-New-Guinea,Interior-New-Guinea,,,0,0.5,6,11000,2086.09754,0,FALSE,"Used as L2 by Bogaya [boq], Hewa [ham].",,,,,
dud,Hun-Saare,Niger-Congo,African-Savannah,,,0,0.1428571492,7,73000,4163.612875,0,FALSE,Used as L2 by Tsuvadi [tvd].,,,,,
duf,Dumbea,Austronesian,Oceania,,,0,0.5,2,950,1914.14664,0,FALSE,no information,,,,,
dug,Duruma,Niger-Congo,,1.591511488,9.950614929,0,,,247000,4222.972837,0,FALSE,Used as L2 by Chidigo [dig].,,,,,
duo,Dupaninan Agta,Austronesian,Oceania,,,0,0,2,1200,3535.695911,0,FALSE,no information,,,,,
dur,Dii,Niger-Congo,African-Savannah,1.529117346,8.205025673,0,,,47000,12943.18516,0,FALSE,no information,,,,,
dus,Dumi,Sino-Tibetan,Indic,,,0,0.6666666865,9,2000,38.95990266,0,FALSE,no information,,,,,
duu,Drung,Sino-Tibetan,Southeast-Asia,,,0,0.3333333433,3,14000,4199.471188,0,FALSE,no information,,,,,
dww,Dawawa,Austronesian,,1.341468692,8.527762413,0,,,2500,250.232872,0,FALSE,Used as L2 by Kakabai [kqf].,,,,,
dyi,Djimini Senoufo,Niger-Congo,African-Savannah,1.376767039,7.698854446,0,,,95500,9798.417366,0,FALSE,no information,,,,,
dyo,Jola-Fonyi,Niger-Congo,African-Savannah,1.560522079,9.834906578,0,0.5887681246,23,407000,7197.601858,0,FALSE,"Used as L2 by Bandial [bqj], Gusilay [gsl], Karon [krx], Kuwaataay [cwt], Mankanya [knf], Mlomp [mlo], Pulaar [fuc].",,,,,
dyu,Jula,Niger-Congo,African-Savannah,1.521292329,7.876924515,0.8231619596,,,1179000,10519.95169,1,TRUE,"Used as L2 by Abidji [abi], Abron [abr], Anyin [any], Attié [ati], Beng [nhb], Cebaara Sénoufo [sef], Dan [dnj], Djimini Sénoufo [dyi], Gban [ggu], Mwan [moa], Nyabwa [nwb], Téén [lor], Tepo Krumen [ted], Toura [neb], Wan [wan], Wè Southern [gxx], Wè Western [wec], Yaouré [yre].",,,,,
dyy,Dyaabugay,Australian,N-Australia,,,0,0.694444418,6,3,649.5102527,0,FALSE,no information,,,,,
dzg,Dazaga,Nilo-Saharan,African-Savannah,,,,0.5454545617,11,381000,504454.6063,1,FALSE,Used as L2 by Tedaga [tuq].,,,,,
efi,Efik,Niger-Congo,African-Savannah,1.55963397,8.728972435,0.8315109611,0.6666666865,3,400000,1967.5157,1,TRUE,"Used as L2 by Anaang [anw], Efutop [ofu], Ekit [eke], Ibibio [ibb], Ibino [ibn], Kiong [kkm], Korop [krp], Nde-Nsele-Nta [ndd], Oro [orx].",,,,,
ega,Ega,Niger-Congo,African-Savannah,,,0,0,1,2500,15.98627752,0,FALSE,no information,,,,,
eip,Eipomek,Trans-New-Guinea,Interior-New-Guinea,,,0,0.7142857313,7,3000,671.3625451,0,FALSE,no information,,,,,
eka,Ekajuk,Niger-Congo,,1.496426105,8.576701164,0,,,30000,465.8911085,0,FALSE,"Used as L2 by Abanyom [abm], Efutop [ofu], Nkem-Nkum [isi].",,,,,
ekg,Ekari,Trans-New-Guinea,Interior-New-Guinea,,,0,0.7132034898,11,100000,12236.46089,0,FALSE,no information,,,,,
eko,Koti,Niger-Congo,S-Africa,,10.29322338,0,1,1,77000,657.402754,0,FALSE,no information,,,,,
eky,Eastern Kayah,Sino-Tibetan,Southeast-Asia,,,0,0.1432291716,16,18000,283.075263,0,FALSE,no information,,,,,
ell,Greek,Indo-European,Europe,1.757701874,9.221045494,0.004339719191,0.4519132674,28,11792480,139927.6003,1,TRUE,no information,,,,,
eme,Emerillon,Tupian,NE-South-America,,,0,1,7,400,513.7524675,0,FALSE,Used as L2 by Wayampi [oym].,,,,,
emi,Mussau-Emira,Austronesian,N-Coast-New-Guinea,1.292590976,8.359977722,0,0.1428571492,7,5000,388.602898,0,FALSE,Used as L2 by Tenis [tns].,,,,,
emp,Northern Emberá,Chocoan,Andean,1.392866492,9.921227455,0,1,8,60200,26867.00937,0,FALSE,no information,Lang Use section reads as if there are a few L2 speakers,,,,
enb,Endo,Nilo-Saharan,S-Africa,1.403868794,9.633946419,0,,,161000,2627.087483,0,FALSE,no information,,,,,
eng,English,Indo-European,Europe,1.631698728,8.367746353,0.6218085885,0.3292517066,28,492481870,13989408.63,1,TRUE,no information,,,,,
enh,Tundra Enets,Uralic,Inner-Asia,,,0,0.8571428657,7,10,2931.214618,0,FALSE,no information,,,,,
enn,Engenni,Niger-Congo,African-Savannah,,,0,0.2916666567,12,20000,193.5066095,0,FALSE,no information,,,,,
eno,Enggano,Unclassified,Southeast-Asia,,,0,0.7142857313,7,1500,400.0589831,0,FALSE,no information,,,,,
erg,Sie,Austronesian,Oceania,,,0,0.6888889074,9,1900,735.8166496,0,FALSE,no information,,,,,
erk,South Efate,Austronesian,Oceania,,,0,0.6000000238,5,6000,682.6823606,0,FALSE,"Used as L2 by Eton [etn], Lelepa [lpa], Mele-Fila [mxe].",,,,,
ese,Ese Ejja,Tacanan,NE-South-America,1.200025439,8.668792725,0,0.125,8,1770,5442.817106,0,FALSE,no information,,,,,
esi,North Alaskan Inupiatun,Eskimo-Aleut,,1.683728933,11.90941906,0,,,6420,54302.88602,0,FALSE,no information,,,,,
esk,Northwest Alaska Inupiatun,Eskimo-Aleut,Alaska-Oregon,1.742238641,12.51725674,0,,,2420,116340.0538,0,FALSE,no information,,,,,
ess,Central Siberian Yupik,Eskimo-Aleut,N-Coast-Asia,,,0,1,2,1130,6548.553779,0,FALSE,no information,,,,,
esu,Central Yupik,Eskimo-Aleut,Alaska-Oregon,,,0,0.8045454621,22,16900,127591.7769,0,FALSE,no information,,,,,
etr,Edolo,Trans-New-Guinea,Interior-New-Guinea,1.314365983,9.662683487,0,,,1670,470.8302233,0,FALSE,Used as L2 by Onobasulu [onn].,,,,,
eus,Basque,Language-isolate,Europe,1.683912873,10.34806347,,0.647448957,28,656200,16420.12479,1,FALSE,no information,,,,,
eve,Even,Altaic,Inner-Asia,,,0,0.6666666865,9,7170,57012.37435,0,FALSE,"Used as L2 by Chukchi [ckt], Northern Yukaghir [ykg], Southern Yukaghir [yux].",,,,,
evn,Evenki,Altaic,Inner-Asia,,,0,0.7477072477,27,27580,489069.3395,0,FALSE,"Used as L2 by Daur [dta], Oroqen [orh].",,,,,
ewe,Éwé,Niger-Congo,African-Savannah,1.716948271,8.896357536,0.1067463681,0.3850694299,24,3112000,16400.96273,1,TRUE,"Used as L2 by Akposo [kpo], Avatime [avn], Logba [lgq], Nawdm [nmz], Nkonya [nko], Nyangbo [nyb], Sekpele [lip], Selee [snw], Tafi [tcd], Tuwuli [bov].",,,,,
ewo,Ewondo,Niger-Congo,African-Savannah,,,,0.4444444478,9,578000,50801.96222,1,FALSE,"Used as L2 by Elip [ekm], Gbaya-Mbodomo [gmm], Gyele [gyi], Mengisa [mct], Mmaala [mmu], Mpumpong [mgg], Nubaca [baf], Yangben [yav].",,,,,
faa,Fasu,Trans-New-Guinea,Interior-New-Guinea,1.219663978,9.546803474,0,1,4,1200,2454.723071,0,FALSE,Used as L2 by Kasua [khs].,,,,,
fai,Faiwol,Trans-New-Guinea,,1.499364376,9.195149422,0,,,4500,3337.745541,0,FALSE,"Used as L2 by Ninggerum [nxr], Tifal [tif].",,,,,
fal,South Fali,Niger-Congo,,1.605353832,8.251113892,0,,,20000,918.6637347,0,FALSE,no information,,,,,
fao,Faroese,Indo-European,Europe,1.691667318,9.254670143,,0.3333333433,3,48200,1415.345395,1,FALSE,no information,,,,,
ffm,Maasina Fulfulde,Niger-Congo,African-Savannah,1.724166155,9.418698311,0,,,1001200,281981.0494,0,FALSE,"Used as L2 by Ana Tinga Dogon [dti], Bankan Tey Dogon [dbw], Bunoge Dogon [dgb], Tiemacèwè Bozo [boo], Tieyaxo Bozo [boz].",,,,,
fij,Fijian,Austronesian,Oceania,1.402365088,7.409202576,0.4854295254,0.2791904807,25,333440,11608.71367,0,TRUE,no information,,,,,
fin,Finnish,Uralic,Inner-Asia,1.720209122,10.4171133,0.04784200713,0.4770146608,26,4739460,309002.851,1,TRUE,no information,,,,,
fla,Kalispel-Pend D'oreille,Salish,Basin-and-Plains,,,0,0.5749999881,10,64,1742.129749,0,FALSE,no information,,,,,
fon,Fon,Niger-Congo,African-Savannah,1.612937927,7.775791168,,0.200000003,5,1435500,5481.270542,1,FALSE,"Used as L2 by Aguna [aug], Ayizo Gbe [ayb], Ci Gbe [cib], Eastern Xwla Gbe [gbx], Ede Idaca [idd], Ede Ije [ijj], Gbesi Gbe [gbs], Gun [guw], Kotafon Gbe [kqk], Maxi Gbe [mxl], Saxwe Gbe [sxw], Tchumbuli [bqa], Tofin Gbe [tfi], Weme Gbe [wem], Western Xwla Gbe [xwl], Xwela Gbe [xwe].",,,,,
for,Fore,Trans-New-Guinea,Interior-New-Guinea,1.439185262,10.40258884,0,0.8000000119,5,17000,674.2862924,0,FALSE,no information,,,,,
fqs,Fas,Fas,N-Coast-New-Guinea,,,0,0.6000000238,5,2500,2017.13295,0,FALSE,no information,,,,,
fra,French,Indo-European,Europe,1.699139118,9.093759537,0.6685438752,0.4341117144,26,65458630,915749.3821,1,TRUE,no information,,,,,
frs,Eastern Frisian,Indo-European,Europe,,,0,0.150000006,5,2000,123.4214576,0,FALSE,Used as L2 by Saterfriesisch [stq].,,,,,
fry,Western Frisian,Indo-European,Europe,1.680170059,8.472644806,,0.125,1,467000,3031.221507,1,FALSE,no information,,,,,
fub,Adamawa Fulfulde,Niger-Congo,African-Savannah,1.699406743,9.175152779,,0.7890625,16,8518000,80432.94098,1,FALSE,"Used as L2 by Buwal [bhs], Cuvok [cuv], Dama [dmm], Doyayo [dow], Dugwor [dme], Gavar [gou], Gbaya-Mbodomo [gmm], Gidar [gid], Gimme [kmp], Jimi [jim], Karang [kzr], Mambai [mcs], Mbudum [xmd], Mbum [mdd], Mefele [mfj], Mina [hna], Mofu-Gudur [mif], Moloko [mlw], Mono [mru], Muyang [muy], Ndai [gke], Ndoola [ndr], North Fali [fll], Pam [pmn], Pana [pnz], Sharwa [swq], Suga [sgi], Tsuvan [tsh], Vame [mlr], Wandala [mfi], Wawa [www], Wuzlam [udl], Zulgo-Gemzek [gnd].",,,,,
fud,East Futuna,Austronesian,Oceania,,,0,0.125,2,3600,92.10220836,0,FALSE,no information,,,,,
fuf,Pular,Niger-Congo,African-Savannah,1.667606473,9.004512787,,1,1,2601200,78137.74986,1,FALSE,Used as L2 by Kakabe [kke].,,,,,
fuh,Western Niger Fulfulde,Niger-Congo,African-Savannah,1.710771441,9.473722458,0,,,1230000,98569.2812,0,FALSE,no information,,,,,
fun,Fulniô,Language-isolate,NE-South-America,,,0,1,6,2930,1407.25511,0,FALSE,no information,,,,,
fut,Futuna-Aniwa,Austronesian,Oceania,,,0,0.1818181872,11,1500,18.06794913,0,FALSE,no information,,,,,
fuu,Furu,Nilo-Saharan,S-Africa,,,0,0.571428597,7,16000,3306.022594,0,FALSE,no information,,,,,
fuv,Nigerian Fulfulde,Niger-Congo,African-Savannah,1.654070258,9.148304939,,,,1710000,14896.4106,1,FALSE,"Used as L2 by Bali [bcn], Bena [yun], Bille [bil], Bokobaru [bus], Bure [bvh], Dera [kna], Duguri [dbm], Fali [fli], Ga’anda [gqa], Gude [gde], Hõne [juh], Hwana [hwo], Jara [jaf], Jibu [jib], Kaan [ldl], Kam [kdx], Kibaku [ckl], Kpasham [pbn], Kumba [ksm], Lala-Roba [lla], Lamnso’ [lns], Longuda [lnu], Mboi [moi], Mbula-Bwazza [mbu], Mom Jango [ver], Ndoola [ndr], Ngwaba [ngw], Nigeria Mambila [mzk], Nya Huba [hbb], Nyong [muo], Peere [pfe], Ron [cla], Samba Daka [ccg], Shoo-Minda-Nye [bcv], Sukur [syk], Teme [tdo], Tsuvadi [tvd], Vemgo-Mabas [vem], Waja [wja], Yendang [ynq], Zeem [zua].",,,,,
fvr,Fur,Nilo-Saharan,African-Savannah,,,0,0.5944444537,15,501800,112631.7269,0,FALSE,no information,,,,,
gaa,Ga,Niger-Congo,African-Savannah,1.632145882,8.486538887,0,0.5,6,600000,1675.615163,0,FALSE,Used as L2 by Nawdm [nmz].,,,,,
gae,Guarequena,Maipurean,NE-South-America,,,0,0.8181818128,11,500,25973.86605,0,FALSE,no information,,,,,
gag,Gagauz,Altaic,Europe,1.813666821,10.46070766,0,1,1,150000,3239.033494,0,FALSE,no information,"""89% speak it as L1"" --> 11% speak it as L2?",,,,
gah,Alekano,Trans-New-Guinea,Interior-New-Guinea,1.460585952,9.824321747,0,1,10,25000,257.3404537,0,FALSE,Used as L2 by Tokano [zuh].,,,,,
gaj,Gadsup,Trans-New-Guinea,Interior-New-Guinea,,,0,0.8571428657,7,22100,391.4119446,0,FALSE,Used as L2 by Kambaira [kyy].,,,,,
gam,Kandawo,Trans-New-Guinea,,1.382659912,7.907316208,0,,,4000,203.7487533,0,FALSE,no information,,,,,
gaw,Nobonob,Trans-New-Guinea,,1.338259697,8.396260262,0,,,5000,220.1766465,0,FALSE,Used as L2 by Wagi [fad].,,,,,
gbd,Karadjeri,Australian,N-Australia,,,0,0.75,4,12,11798.70635,0,FALSE,no information,,,,,
gbi,Galela,West-Papuan,Oceania,1.440180898,8.110234261,0,0.25,1,79000,4593.216553,0,FALSE,no information,,,,,
gbo,Northern Grebo,Niger-Congo,,1.683551192,8.811017036,0,,,84500,7332.493262,0,FALSE,no information,,,,,
gbp,Gbaya-Bossangoa,Niger-Congo,African-Savannah,,,0,0.5,9,200000,7936.278857,0,FALSE,no information,,,,,
gbr,Gbagyi,Niger-Congo,,,,0,0.04166666791,6,700000,17362.05229,0,FALSE,no information,,,,,
gbu,Gagadu,Australian,N-Australia,,,0,0.5833333135,6,6,1112.957277,0,FALSE,no information,Population of 1,,,,
gdb,Pottangi Ollar Gadaba,Dravidian,Indic,,,0,1,1,15000,384.3177963,0,FALSE,no information,,,,,
gde,Gude,Afro-Asiatic,African-Savannah,1.440187454,8.526370049,0,0.5333333611,10,96000,566.8988216,0,FALSE,Used as L2 by Fali [fli].,,,,,
gdm,Laal,Unclassified,African-Savannah,,,0,0.5,8,750,131.2551548,0,FALSE,no information,,,,,
gdn,Umanakaina,Trans-New-Guinea,,1.187305808,8.29910183,0,,,2400,500.1829268,0,FALSE,no information,,,,,
gdo,Ghodoberi,North-Caucasian,Greater-Mesopotamia,,,0,0.8041666746,8,3000,32.9633494,0,FALSE,no information,,,,,
gdq,Mehri,Afro-Asiatic,Greater-Mesopotamia,,,0,0.5303030014,11,121400,120798.8793,0,FALSE,no information,,,,,
gdr,Wipi,Eastern-Trans-Fly,,1.464046001,8.791858673,0,,,3500,2576.684803,0,FALSE,no information,,,,,
geb,Kire,Ramu-Lower-Sepik,N-Coast-New-Guinea,1.261117458,8.342934608,0,1,1,2420,147.5160717,0,FALSE,no information,,,,,
gej,Gen,Niger-Congo,,1.624783516,8.198090553,,,,327000,180.5832071,1,FALSE,"Used as L2 by Aguna [aug], Aja [ajg], Akebu [keu], Ginyanga [ayg], Kpessi [kef], Western Xwla Gbe [xwl].",,,,,
gey,Enya,Niger-Congo,S-Africa,,,0,1,2,15000,1035.607201,0,FALSE,no information,,,,,
gfk,Patpatar,Austronesian,N-Coast-New-Guinea,1.319510937,7.74585104,0,,,7000,604.4937786,0,FALSE,no information,,,,,
gge,Guragone,Australian,N-Australia,,,0,0.722222209,3,20,1028.137715,0,FALSE,no information,,,,,
ggw,Gogodala,Trans-New-Guinea,S-New-Guinea,,,0,1,2,22000,2867.731419,0,FALSE,"Used as L2 by Ari [aac], Dibiyaso [dby], Doso [dol], Kamula [xla], Mubami [tsx], Tabo [knv], Turumsa [tqm], Waruna [wrv].",,,,,
ghs,Guhu-Samane,Trans-New-Guinea,S-New-Guinea,1.47157681,9.571398735,0,0.75,4,12800,1318.471775,0,FALSE,no information,,,,,
gil,Kiribati,Austronesian,Oceania,1.41706717,7.736741066,,0.4583333433,19,66110,1037.244828,1,FALSE,no information,,,,,
git,Gitxsan,Tsimshian,Alaska-Oregon,,,0,0.6666666865,3,1330,170.226174,0,FALSE,no information,more semi speakers than L1 speakers; taught in University of Northern British Columbia --> L2-speakers?,,,,
giz,South Giziga,Afro-Asiatic,,1.579141974,8.499317169,0,0.5,2,60000,1301.88525,0,FALSE,Used as L2 by Gidar [gid].,,,,,
gju,Gujari,Indo-European,Indic,,,0,1,2,990000,6229.709786,0,FALSE,no information,,,,,
gkn,Gokana,Niger-Congo,African-Savannah,1.582269192,8.092110634,0,0.2222222239,9,100000,87.86426913,0,FALSE,"Used as L2 by Eleme [elm], Khana [ogo], Tee [tkq].",,,,,
gkp,Guinea Kpelle,Niger-Congo,,1.700584769,8.838554382,0,,,308000,6437.473613,0,FALSE,no information,,,,,
gla,Scottish Gaelic,Indo-European,Europe,1.600497961,8.482806206,,0.400000006,11,58700,14391.24275,1,FALSE,no information,"Population: 57,400 (2011 census). Over 87,000 people with any Gaelic language skills (2011 census).",,,,
gld,Nanai,Altaic,N-Coast-Asia,,,0,0.5,1,3902,14741.63852,0,FALSE,no information,,,,,
gle,Irish Gaelic,Indo-European,Europe,1.684411526,9.10033989,0.856208384,0.3849206269,21,260000,4524.676412,1,TRUE,no information,,,,,
glg,Galician,Indo-European,Europe,,,,1,1,3185000,36502.37389,1,FALSE,no information,,,,,
glk,Gilaki,Indo-European,Greater-Mesopotamia,,8.930821419,0,0.5,4,3270000,6572.744526,0,FALSE,no information,,,,,
glu,Gula,Nilo-Saharan,African-Savannah,,,0,0.1666666716,6,10300,645.8746051,0,FALSE,Used as L2 by Gula Iro [glj].,,,,,
gmm,Gbaya-Mbodomo,Niger-Congo,,,,0,0.6000000238,5,20000,12416.1898,0,FALSE,no information,,,,,
gnd,Zulgo-Gemzek,Afro-Asiatic,,1.289215446,7.427960873,0,,,26000,176.2914297,0,FALSE,no information,,,,,
gng,Ngangam,Niger-Congo,,1.511721253,8.158475876,0,,,66000,1844.942122,0,FALSE,no information,,,,,
gni,Gooniyandi,Australian,N-Australia,,,0,0.6204968691,23,100,5706.873026,0,FALSE,no information,,,,,
gnn,Gumatj,Australian,N-Australia,1.22407794,9.496450424,0,1,1,300,143.565439,0,FALSE,"Used as L2 by Dayi [dax], Gupapuyngu [guf].",,,,,
gnw,Western Bolivian Guaraní,Tupian,,1.261830449,7.93513155,0,,,7000,19088.32365,0,FALSE,no information,,,,,
god,Godié,Niger-Congo,African-Savannah,,,0,0.8000000119,1,26400,5570.040171,0,FALSE,no information,,,,,
gog,Gogo,Niger-Congo,,1.531060576,9.963962555,0,,,1440000,37274.57643,0,FALSE,no information,,,,,
gol,Gola,Niger-Congo,African-Savannah,,,0,1,1,107300,8511.056344,0,FALSE,Used as L2 by Vai [vai].,,,,,
gor,Gorontalo,Austronesian,Oceania,1.399271131,9.430893898,0,,,900000,6736.15745,0,FALSE,no information,,,,,
gpn,Taiap,Language-isolate,N-Coast-New-Guinea,,,0,0.6999999881,2,80,69.27175348,0,FALSE,no information,,,,,
gqa,Ga'anda,Afro-Asiatic,African-Savannah,,,0,1,3,43000,257.640635,0,FALSE,"Used as L2 by Hwana [hwo], Lala-Roba [lla], Mboi [moi].",,,,,
grj,Southern Grebo,Niger-Congo,,,,0,0.4651904702,25,61600,1105.723555,0,FALSE,no information,also spoken in cote d'ivoir,,,,
grt,Garo,Sino-Tibetan,Indic,1.514270186,10.29481792,,0.651915133,23,900000,13429.8449,1,FALSE,"Used as L2 by Atong [aot], Hajong [haj], Koch [kdq], Lyngngam [lyg], Rabha [rah], Ruga [ruh].",,,,,
gru,Kistane,Afro-Asiatic,Greater-Abyssinia,,,0.1917591095,1,3,255000,1020.879648,0,TRUE,no information,,,,,
gso,"Gbaya, Southwest",Niger-Congo,,1.495725155,7.702019691,0,,,220000,20558.65459,0,FALSE,Used as L2 by Kako [kkj].,,,,,
gta,Guató,Language-isolate,NE-South-America,,,0,1,1,40,2707.734979,0,FALSE,no information,population of 4,,,,
gub,Guajajára,Tupian,NE-South-America,1.257624269,8.122962952,0,0.6000000238,5,15000,55698.99164,0,FALSE,no information,,,,,
guc,Wayuu,Maipurean,NE-South-America,1.268773079,9.417921066,0,0.8333333135,6,305000,32700.32631,0,FALSE,no information,,,,,
gud,Yocoboué Dida,Niger-Congo,,1.495499372,8.339645386,0,,,102000,3062.745892,0,FALSE,no information,,,,,
guh,Guahibo,Guajiboan,NE-South-America,1.112526178,9.937648773,0,,,34200,113026.5326,0,FALSE,no information,,,,,
gui,Eastern Bolivian Guaraní,Tupian,SE-South-America,1.256851673,7.937141418,0,0.75,1,51230,46866.15784,0,FALSE,no information,,,,,
guj,Gujarati,Indo-European,Indic,1.773939252,10.26447964,,0.571428597,7,45544800,121962.4685,1,FALSE,"Used as L2 by Adiwasi Garasia [gas], Chodri [cdi], Dhanki [dhn], Dhodia [dho], Indo-Portuguese [idb], Kacchi [kfr], Rajput Garasia [gra], Sansi [ssi], Varli [vav].",,,,,
guk,Gumuz,Nilo-Saharan,Greater-Abyssinia,2.161321163,10.45450497,0.01960784383,0.78125,8,160000,37281.69059,0,TRUE,no information,,,,,
gul,Sea Island Creole English,Creole,,1.531730771,7.672703266,0,,,250000,73046.062,0,FALSE,no information,,,,,
gum,Guambiano,Paezan,Andean,1.38843298,10.28917217,0,,,23500,1215.335479,0,FALSE,no information,,,,,
gun,Mbyá Guaraní,Tupian,SE-South-America,1.470747232,8.481772423,0,,,25400,52559.8449,0,FALSE,no information,,,,,
guo,Guayabero,Guajiboan,NE-South-America,1.291420102,9.590481758,0,,,2000,5929.951436,0,FALSE,no information,,,,,
gup,Gunwinggu,Australian,N-Australia,,,0,0.5944444537,12,1410,9854.617979,0,FALSE,"Used as L2 by Dalabon [ngk], Djeebbana [djj], Guragone [gge], Maung [mph], Rembarunga [rmb].",,,,,
guq,Aché,Tupian,SE-South-America,1.452653885,8.640975952,0,,,1360,3574.179428,0,FALSE,no information,,,,,
gur,Farefare,Niger-Congo,African-Savannah,1.50136447,7.787787437,,,,845100,3332.359859,1,FALSE,Used as L2 by Mampruli [maw].,,,,,
guw,Gun,Niger-Congo,African-Savannah,1.644118667,8.248084068,0,,,579000,1221.173978,0,FALSE,"Used as L2 by Defi Gbe [gbh], Eastern Xwla Gbe [gbx], Kotafon Gbe [kqk], Tofin Gbe [tfi].",,,,,
gux,Gourmanchéma,Niger-Congo,African-Savannah,1.469395041,7.794523239,0,,,813000,62941.79597,0,FALSE,no information,,,,,
guz,Gusii,Niger-Congo,S-Africa,1.637856364,11.00484848,0.1848223805,1,1,2120000,2267.069759,0,TRUE,Used as L2 by Kuria [kuj].,,,,,
gvc,Guanano,Tucanoan,NE-South-America,1.385648966,9.182113647,0,,,850,1436.226447,0,FALSE,no information,,,,,
gvf,Golin,Trans-New-Guinea,Interior-New-Guinea,1.274687529,8.298362732,0,0.555555582,9,51100,932.2001643,0,FALSE,no information,,,,,
gvl,Gulay,Nilo-Saharan,,1.468829513,8.30638504,0,,,163000,3546.038437,0,FALSE,no information,,,,,
gvn,Kuku-Yalanji,Australian,N-Australia,1.279129982,9.592835426,0,0.5606060624,11,240,5368.365215,0,FALSE,no information,"""children are learning it"" --> not clear if as L1 or L2?",,,,
gvo,Gavião do Jiparaná,Tupian,NE-South-America,,,0,0.5,2,470,911.5080984,0,FALSE,no information,,,,,
gvs,Gumawana,Austronesian,S-New-Guinea,,,0,0.5454545617,11,470,23.3277363,0,FALSE,no information,,,,,
gwd,Gawwada,Afro-Asiatic,Greater-Abyssinia,,,0.01957982033,1,1,32700,1677.237982,0,TRUE,no information,"Language name different in Ethnologue? --> ""Ale""",,,,
gwi,Gwich'in,Eyak-Athabaskan,Alaska-Oregon,1.367491841,9.351938248,0,,,800,8727.678139,0,FALSE,no information,,,,,
gww,Kwini,Australian,N-Australia,,,0,0.5,8,50,157.0680561,0,FALSE,no information,population of 1,,,,
gya,Northwest Gbaya,Niger-Congo,African-Savannah,1.617853284,8.274806023,0,0.53125,8,274500,63583.40556,0,FALSE,no information,,,,,
gyb,Garus,Trans-New-Guinea,N-Coast-New-Guinea,,,0,0.6666666865,3,2650,137.4397892,0,FALSE,Used as L2 by Bargam [mlp].,,,,,
gyd,Kayardild,Australian,N-Australia,,,0,0.5466117263,26,150,148.5153365,0,FALSE,no information,nearly extinct,,,,
